file;club;pattern;license;author;source
ajax.png;Ajax;_ajax2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_ajax2627h.png
feyenoord.png;Feyenoord;_feyenoord2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_feyenoord2627h.png
psv.png;PSV;_psv2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_psv2627h.png
az.png;AZ;_az2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_az2627h.png
twente.png;Twente;_twente2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_twente2627h.png
fc-utrecht.png;FC Utrecht;_utrecht2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_utrecht2627h.png
heerenveen.png;Heerenveen;_heerenveen2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_heerenveen2627h.png
fc-groningen.png;FC Groningen;_groningen2425h;CC0;JonasBR;https://commons.wikimedia.org/wiki/File:Kit_body_groningen2425h.png
go-ahead-eagles.png;Go Ahead Eagles;_gae2526h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_gae2526h.png
nec.png;NEC;_nec2324h;CC BY-SA 4.0;JonasBR;https://commons.wikimedia.org/wiki/File:Kit_body_nec2324h.png
sparta-rotterdam.png;Sparta Rotterdam;_spartarotterdam2021h;CC BY-SA 4.0;JonasBR;https://commons.wikimedia.org/wiki/File:Kit_body_spartarotterdam2021h.png
fortuna-sittard.png;Fortuna Sittard;_fortunasittard2021h;CC BY-SA 4.0;JonasBR;https://commons.wikimedia.org/wiki/File:Kit_body_fortunasittard2021h.png
pec-zwolle.png;PEC Zwolle;_zwolle2526h;CC0;JonasBR;https://commons.wikimedia.org/wiki/File:Kit_body_zwolle2526h.png
heracles.png;Heracles;_heracles2425h;CC0;JonasBR;https://commons.wikimedia.org/wiki/File:Kit_body_heracles2425h.png
rkc-waalwijk.png;RKC Waalwijk;_rkc2021h;CC BY-SA 4.0;JonasBR;https://commons.wikimedia.org/wiki/File:Kit_body_rkc2021h.png
nac-breda.png;NAC Breda;_nac2526h;CC0;JonasBR;https://commons.wikimedia.org/wiki/File:Kit_body_nac2526h.png
mvv-maastricht.png;MVV Maastricht;_mvv2526h;CC0;JonasBR;https://commons.wikimedia.org/wiki/File:Kit_body_mvv2526h.png
roda-jc.png;Roda JC;_goldstripes_thin2;CC BY-SA 3.0;VEO15;https://commons.wikimedia.org/wiki/File:Kit_body_goldstripes_thin2.png
fc-den-bosch.png;FC Den Bosch;_bluestripes4;CC BY-SA 3.0;Fma12;https://commons.wikimedia.org/wiki/File:Kit_body_bluestripes4.png
de-graafschap.png;De Graafschap;_bluehoops;CC BY-SA 3.0;unknown;https://commons.wikimedia.org/wiki/File:Kit_body_bluehoops.png
ado-den-haag.png;ADO Den Haag;_adodenhaag2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_adodenhaag2627h.png
cambuur.png;Cambuur;_cambuur2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_cambuur2627h.png
fc-volendam.png;FC Volendam;_volendam2324h;CC BY-SA 4.0;JonasBR;https://commons.wikimedia.org/wiki/File:Kit_body_volendam2324h.png
excelsior.png;Excelsior;_excelsior2324h;CC BY-SA 4.0;JonasBR;https://commons.wikimedia.org/wiki/File:Kit_body_excelsior2324h.png
las-palmas.png;Las Palmas;_laspalmas2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_laspalmas2627h.png
cd-tenerife.png;CD Tenerife;_tenerife2526h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_tenerife2526h.png
barcelona.png;Barcelona;_barcelona2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_barcelona2627h.png
real-madrid.png;Real Madrid;_realmadrid2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_realmadrid2627h.png
atletico-madrid.png;Atlético Madrid;_atleticomadrid2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_atleticomadrid2627h.png
sevilla.png;Sevilla;_sevilla2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_sevilla2627h.png
valencia.png;Valencia;_valencia2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_valencia2627h.png
athletic-club.png;Athletic Club;_bilbao2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_bilbao2627h.png
real-sociedad.png;Real Sociedad;_realsociedad2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_realsociedad2627h.png
real-betis.png;Real Betis;_betis2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_betis2627h.png
villarreal.png;Villarreal;_villarreal2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_villarreal2627h.png
espanyol.png;Espanyol;_rcde2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_rcde2627h.png
celta-vigo.png;Celta Vigo;_celta2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_celta2627h.png
rayo-vallecano.png;Rayo Vallecano;_rayo12h;CC0;Bruno-ban;https://commons.wikimedia.org/wiki/File:Kit_body_rayo12h.png
getafe.png;Getafe;_getafe2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_getafe2627h.png
osasuna.png;Osasuna;_osasuna2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_osasuna2627h.png
mallorca.png;Mallorca;_mallorca2526h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_mallorca2526h.png
alaves.png;Alavés;_alaves2526h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_alaves2526h.png
real-zaragoza.png;Real Zaragoza;_zaragoza2526h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_zaragoza2526h.png
deportivo-la-coruna.png;Deportivo La Coruña;_depor2627h;CC BY-SA 4.0;Bruno-ban;https://commons.wikimedia.org/wiki/File:Kit_body_depor2627h.png
sporting-gijon.png;Sporting Gijón;_gijon2526h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_gijon2526h.png
real-valladolid.png;Real Valladolid;_valladolid2526h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_valladolid2526h.png
manchester-united.png;Manchester United;_manutd2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_manutd2627h.png
liverpool.png;Liverpool;_liverpool2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_liverpool2627h.png
arsenal.png;Arsenal;_arsenal2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_arsenal2627h.png
chelsea.png;Chelsea;_chelsea2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_chelsea2627h.png
manchester-city.png;Manchester City;_mancity2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_mancity2627h.png
tottenham.png;Tottenham;_tottenham2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_tottenham2627h.png
everton.png;Everton;_everton2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_everton2627h.png
newcastle.png;Newcastle;_newcastle2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_newcastle2627h.png
leicester.png;Leicester;_leicester2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_leicester2627h.png
aston-villa.png;Aston Villa;_astonvilla2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_astonvilla2627h.png
bayern-munich.png;Bayern Munich;_bayern2627h;CC0;El chivista 197207;https://commons.wikimedia.org/wiki/File:Kit_body_bayern2627h.png
borussia-dortmund.png;Borussia Dortmund;_bvb2627h;CC0;El chivista 197207;https://commons.wikimedia.org/wiki/File:Kit_body_bvb2627h.png
schalke-04.png;Schalke 04;_schalke2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_schalke2627h.png
inter.png;Inter;_intermilan2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_intermilan2627h.png
roma.png;Roma;_roma2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_roma2627h.png
napoli.png;Napoli;_napoli2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_napoli2627h.png
fiorentina.png;Fiorentina;_fiorentina2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_fiorentina2627h.png
paris-saint-germain.png;Paris Saint-Germain;_psg2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_psg2627h.png
marseille.png;Marseille;_marseille2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_marseille2627h.png
lyon.png;Lyon;_lyon2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_lyon2627h.png
monaco.png;Monaco;_monaco2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_monaco2627h.png
benfica.png;Benfica;_benfica2627H;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_benfica2627H.png
porto.png;Porto;_porto2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_porto2627h.png
sporting-cp.png;Sporting CP;_scp2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_scp2627h.png
club-brugge.png;Club Brugge;_brugge2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_brugge2627h.png
anderlecht.png;Anderlecht;_anderlecht2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_anderlecht2627h.png
celtic.png;Celtic;_celtic2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_celtic2627h.png
rangers.png;Rangers;_rangers2627h;CC0;WikipedyjniAK;https://commons.wikimedia.org/wiki/File:Kit_body_rangers2627h.png
