file;name;country;capacity;license;author;source
camp-nou.jpg;Camp Nou;Spain;105000;CC BY 2.0;Oh-Barcelona.com from Barcelona, Spain;https://commons.wikimedia.org/wiki/File:Camp_Nou_aerial_(cropped).jpg
maracana-stadium.jpg;Maracanã Stadium;Brazil;78838;CC BY-SA 3.0 de;Arne Müseler;https://commons.wikimedia.org/wiki/File:Maracana_2022.jpg
old-trafford.jpg;Old Trafford;United Kingdom;75731;Public domain;Øyvind Vik;https://commons.wikimedia.org/wiki/File:Old_Traford.jpg
bernabeu.jpg;Bernabéu;Spain;83186;CC BY 4.0;Zoser;https://commons.wikimedia.org/wiki/File:Estadio_Santiago_Bernab%C3%A9u_Madrid.jpg
allianz-arena.jpg;Allianz Arena;Germany;75024;CC BY-SA 2.5;Maximilian Dörrbecker (Chumwa);https://commons.wikimedia.org/wiki/File:M%C3%BCnchen_-_Allianz-Arena_(Luftbild).jpg
wembley-stadium.jpg;Wembley Stadium;United Kingdom;90000;CC BY-SA 3.0 de;Arne Müseler;https://commons.wikimedia.org/wiki/File:London_Wembley.jpg
anfield.jpg;Anfield;United Kingdom;61276;CC BY-SA 3.0 de;Arne Müseler;https://commons.wikimedia.org/wiki/File:Liverpool_anfield_road_stadium.jpg
emirates-stadium.jpg;Emirates Stadium;United Kingdom;60338;CC BY-SA 3.0 de;Arne Müseler;https://commons.wikimedia.org/wiki/File:London_Emirates_Stadium_arsenal.jpg
stamford-bridge.jpg;Stamford Bridge;United Kingdom;41875;CC BY-SA 3.0 de;Arne Müseler;https://commons.wikimedia.org/wiki/File:London_Stamford_Bridge.jpg
stadio-olimpico.jpg;Stadio Olimpico;Italy;70634;CC BY-SA 4.0;Messapi, cropped by Blackcat;https://commons.wikimedia.org/wiki/File:Stadio_Olimpico_2024.jpg
stade-de-france.jpg;Stade de France;France;81338;CC BY-SA 4.0;Darthvadrouw;https://commons.wikimedia.org/wiki/File:StadeFranceNationsLeague2018.jpg
rams-park.jpg;Rams Park;Turkey;52652;CC BY-SA 4.0;1886kusagi;https://commons.wikimedia.org/wiki/File:Galatasaray_Arena_North-West_Corner.jpg
london-stadium.jpg;London Stadium;United Kingdom;62500;CC BY-SA 3.0 de;Arne Müseler;https://commons.wikimedia.org/wiki/File:London_Olympic_Stadium_West_Ham.jpg
luzhniki-stadium.jpg;Luzhniki Stadium;Russia;78360;CC BY 4.0;Government of Moscow Press centre;https://commons.wikimedia.org/wiki/File:LuzhnikiStadium.jpg
beijing-national-stadium.jpg;Beijing National Stadium;People's Republic of China;80000;CC BY-SA 4.0;N509FZ;https://commons.wikimedia.org/wiki/File:Beijing_National_Stadium_from_the_Central_Axis_(20220905140702).jpg
gazprom-arena.jpg;Gazprom Arena;Russia;80000;CC BY-SA 4.0;Vyacheslav Bukharov;https://commons.wikimedia.org/wiki/File:Gazprom_Arena_(2026-05-17)_-_0.jpg
villa-park.jpg;Villa Park;United Kingdom;42640;CC BY-SA 3.0 de;Arne Müseler;https://commons.wikimedia.org/wiki/File:Birmingham_aston_villa_park_stadium.jpg
westfalenstadion.jpg;Westfalenstadion;Germany;81359;CC BY-SA 3.0 de;Arne Müseler / www.arne-mueseler.com;https://commons.wikimedia.org/wiki/File:Signal_iduna_park_stadium_dortmund_6.jpg
lukoil-arena.jpg;Lukoil Arena;Russia;45360;CC BY-SA 4.0;Voltmetro;https://commons.wikimedia.org/wiki/File:2017_Confederation_Cup_-_CHIAUS_-_Spartak_Stadium_Panorama.jpg
fnb-stadium.jpg;FNB Stadium;South Africa;94736;CC BY 2.0;Dundas Football Club;https://commons.wikimedia.org/wiki/File:FIFA_World_Cup_2010_Argentina_South_Korea.jpg
st-james-park.jpg;St James’ Park;United Kingdom;52305;CC BY-SA 3.0 de;Arne Müseler;https://commons.wikimedia.org/wiki/File:Newcastle_st-james-park_stadium.jpg
goodison-park.jpg;Goodison Park;United Kingdom;40157;CC BY-SA 3.0 de;Arne Müseler;https://commons.wikimedia.org/wiki/File:Liverpool_fc_everton_stadium.jpg
estadio-azteca.jpg;Estadio Azteca;Mexico;115000;CC BY 4.0;ProtoplasmaKid;https://commons.wikimedia.org/wiki/File:Vista_a%C3%A9rea_del_Estadio_Azteca_-_2026_-_02.jpg
ak-bars-arena.jpg;Ak Bars Arena;Russia;45105;CC BY 4.0;Government Press and Information Office;https://commons.wikimedia.org/wiki/File:Closing_of_2013_Summer_Universiade_79.jpg
arena-aufschalke.jpg;Arena AufSchalke;Germany;62271;CC BY-SA 3.0;Frank Vincentz;https://commons.wikimedia.org/wiki/File:Gelsenkirchen_-_Schalker_Feld_-_AufSchalke_26_ies.jpg
mineirao.jpg;Mineirão;Brazil;66658;CC BY 2.0;Rodrigo Lima/Portal da Copa;https://commons.wikimedia.org/wiki/File:Mineir%C3%A3o_A%C3%A9rea.jpg
hampden-park.jpg;Hampden Park;United Kingdom;51866;CC BY-SA 3.0;Dan Kearney, cropped by Blackcat;https://commons.wikimedia.org/wiki/File:Hampden_Park_(Glasgow)_aerial_view_cropped.jpg
white-hart-lane.jpg;White Hart Lane;United Kingdom;36284;CC BY-SA 3.0;Forthevline;https://commons.wikimedia.org/wiki/File:White_Hart_Lane_from_South_End.JPG
lusail-stadium.jpg;Lusail Stadium;Qatar;88966;CC BY-SA 4.0;Adnen1985;https://commons.wikimedia.org/wiki/File:Br%C3%A9sil_vs_Serbie.jpg
stade-velodrome.jpg;Stade Vélodrome;France;67394;CC BY-SA 2.0;Bernard Ddd;https://commons.wikimedia.org/wiki/File:Stade_V%C3%A9lodrome_closeup.jpg
munich-olympic-stadium.jpg;Munich Olympic Stadium;Germany;63118;CC BY-SA 4.0;Amrei-Marie;https://commons.wikimedia.org/wiki/File:Blick_vom_Olympiaberg_auf_das_Olympiastadion.jpg
rostov-arena.jpg;Rostov Arena;Russia;45000;CC BY 4.0;Пресс-служба Президента России;https://commons.wikimedia.org/wiki/File:Rostov_Arena2018_(cropped).jpg
leicester-city-stadium.jpg;Leicester City Stadium;United Kingdom;32261;CC BY-SA 4.0;Pottercomuneo;https://commons.wikimedia.org/wiki/File:King_Power_Stadium_wide_view.jpg
mordovia-arena.jpg;Mordovia Arena;Russia;45015;CC BY-SA 4.0;Vyacheslav Bukharov;https://commons.wikimedia.org/wiki/File:Mordovia_Arena1.jpg
mhparena.jpg;MHPArena;Germany;60058;CC0;Xocolatl (talk) 09:17, 21 June 2011 (UTC);https://commons.wikimedia.org/wiki/File:Blick_vom_Rotenberg_Stadion.jpg
cape-town-stadium.jpg;Cape Town Stadium;South Africa;58309;CC BY-SA 3.0;Hansueli Krapf This file was uploaded with Commonist.;https://commons.wikimedia.org/wiki/File:2011-02-06_14-57-32_South_Africa_-_Bakoven.jpg
volksparkstadion.jpg;Volksparkstadion;Germany;57000;CC0;Mario Klassen marioklassen;https://commons.wikimedia.org/wiki/File:Well_lit_soccer_stadium_(Unsplash).jpg
johan-cruyff-arena.jpg;Johan Cruyff Arena;Netherlands;54990;CC0;Alf van Beem;https://commons.wikimedia.org/wiki/File:Arena,_Ajax_stadion,_Amsterdam.JPG
waldstadion.jpg;Waldstadion;Germany;51500;CC BY-SA 3.0 de;Arne Müseler;https://commons.wikimedia.org/wiki/File:Frankfurt_stadium.jpg
neo-quimica-arena.jpg;Neo Química Arena;Brazil;47252;CC BY 2.0;Alexandre Breveglieri;https://commons.wikimedia.org/wiki/File:ARENA_CORINTHIANS.jpg
rostec-arena.jpg;Rostec Arena;Russia;45015;CC BY-SA 4.0;Dmitry Rozhkov;https://commons.wikimedia.org/wiki/File:Kaliningrad_stadium_-_2018-04-07.jpg
samara-arena.png;Samara Arena;Russia;44918;CC BY-SA 4.0;Satory2001;https://commons.wikimedia.org/wiki/File:Samara_arena.png
central-stadium-yekaterinburg.jpg;Central Stadium Yekaterinburg;Russia;42500;FAL;A.Savin;https://commons.wikimedia.org/wiki/File:E-burg_asv2019-05_img22_Central_Stadium.jpg
juventus-stadium.jpg;Juventus Stadium;Italy;41689;CC BY 2.0;forzaq8 from kuwait, kuwait;https://commons.wikimedia.org/wiki/File:Juventus_v_Real_Madrid,_Champions_League,_Stadium,_Turin,_2013.jpg
estadio-nacional-de-brasilia.jpg;Estádio Nacional de Brasília;Brazil;69910;CC BY-SA 3.0 de;Arne Müseler;https://commons.wikimedia.org/wiki/File:Est%C3%A1dio_Nacional_de_Bras%C3%ADlia_2022.jpg
moses-mabhida-stadium.jpg;Moses Mabhida Stadium;South Africa;62760;CC0;Blastworlddbn;https://commons.wikimedia.org/wiki/File:Mabhida_Stadium.jpg
kazimierz-gorski-national-stadium.jpg;Kazimierz Górski National Stadium;Poland;58274;CC BY-SA 4.0;XEvansGambitx;https://commons.wikimedia.org/wiki/File:Stadion_narodowy_panorama.jpg
bc-place.jpg;BC Place;Canada;54500;CC BY-SA 3.0;Yvrphoto;https://commons.wikimedia.org/wiki/File:BC_Place_Opening_Day_2011-09-30.jpg
khalifa-international-stadium.jpg;Khalifa International Stadium;Qatar;50500;CC BY-SA 4.0;Adnen1985;https://commons.wikimedia.org/wiki/File:Khalifa_International_Stadium.jpg
rheinenergie-stadion.jpg;RheinEnergie Stadion;Germany;46195;CC BY-SA 4.0;Raimond Spekking;https://commons.wikimedia.org/wiki/File:Drohnenaufnahme_RheinEnergieStadion_im_Sportpark_M%C3%BCngersdorf-0551.jpg
volgograd-arena.jpg;Volgograd Arena;Russia;45568;CC BY-SA 3.0 de;Arne Müseler;https://commons.wikimedia.org/wiki/File:Volgograd_arena_aerial_view_1.jpg
parken-stadium.jpg;Parken Stadium;Denmark;38065;CC BY-SA 3.0 de;Arne Müseler;https://commons.wikimedia.org/wiki/File:Denmark_copenhagen_parken_stadium.jpg
selhurst-park.jpg;Selhurst Park;United Kingdom;26255;CC BY-SA 3.0 de;Arne Müseler;https://commons.wikimedia.org/wiki/File:London_Selhurst_Park_crystal_palace_stadium_aerialview.JPG
metlife-stadium.jpg;MetLife Stadium;United States;82500;CC BY 2.0;babyknight;https://commons.wikimedia.org/wiki/File:New_Meadowlands_Stadium_Mezz_Corner.jpg
millennium-stadium.jpg;Millennium Stadium;United Kingdom;73931;CC BY 2.0;Clint Budd from About 15 miles North of Swansea, Wales;https://commons.wikimedia.org/wiki/File:Principality_Stadium_May_3,_2016.jpg
sofi-stadium.jpg;SoFi Stadium;United States;70240;CC BY 2.0;Thank You (21 Millions+) views;https://commons.wikimedia.org/wiki/File:SoFi_Stadium_(51126606022).jpg
ellis-park-stadium.jpg;Ellis Park Stadium;South Africa;62567;CC BY-SA 2.0;Leglo09;https://commons.wikimedia.org/wiki/File:Ellis_Park_Stadium.jpg
